Date,SPY,TLT
2015-01-02,171.56805419921875,97.24324035644531
2015-01-05,168.4695587158203,98.77079010009766
2015-01-06,166.88272094726562,100.55035400390625
2015-01-07,168.96234130859375,100.35177612304688
2015-01-08,171.9605712890625,99.02283477783203
2015-01-09,170.58253479003906,100.1073989868164
2015-01-12,169.2462615966797,100.68021392822266
2015-01-13,168.7702178955078,100.68021392822266
2015-01-14,167.7513427734375,101.4439926147461
2015-01-15,166.21466064453125,103.04026794433594
2015-01-16,168.39437866210938,101.7265853881836
2015-01-20,168.75355529785156,103.07847595214844
2015-01-21,169.60540771484375,101.88700103759766
2015-01-22,172.12759399414062,101.5203857421875
2015-01-23,171.1838836669922,102.933349609375
2015-01-26,171.5847625732422,102.62016296386719
2015-01-27,169.3214569091797,102.78055572509766
2015-01-28,167.14999389648438,104.46088409423828
2015-01-29,168.695068359375,103.7734375
2015-01-30,166.57369995117188,105.61418151855469
2015-02-02,168.63658142089844,105.21548461914062
2015-02-03,171.07530212402344,102.98833465576172
2015-02-04,170.423828125,103.16439819335938
2015-02-05,172.14427185058594,102.03177642822266
2015-02-06,171.66827392578125,100.22561645507812
2015-02-09,170.89988708496094,100.06486511230469
2015-02-10,172.72055053710938,99.26897430419922
2015-02-11,172.82078552246094,99.4526138305664
2015-02-12,174.4827117919922,99.12353515625
2015-02-13,175.2010040283203,98.10567474365234
2015-02-17,175.4766387939453,96.62860870361328
2015-02-18,175.49330139160156,97.20259094238281
2015-02-19,175.3680419921875,96.55972290039062
2015-02-20,176.42037963867188,96.8428955078125
2015-02-23,176.395263671875,97.95259857177734
2015-02-24,176.89642333984375,99.23831176757812
2015-02-25,176.7460174560547,99.6668930053711
2015-02-26,176.53729248046875,98.30464172363281
2015-02-27,175.93594360351562,99.13121032714844
2015-03-02,177.04673767089844,97.28473663330078
2015-03-03,176.32012939453125,96.9319839477539
2015-03-04,175.5767822265625,96.96263885498047
2015-03-05,175.7689208984375,96.83995819091797
2015-03-06,173.2967987060547,94.70057678222656
2015-03-09,174.01504516601562,95.57471466064453
2015-03-10,171.1921844482422,96.832275390625
2015-03-11,170.79129028320312,97.53778839111328
2015-03-12,172.96273803710938,97.46875
2015-03-13,171.90213012695312,97.169677734375
2015-03-16,174.19882202148438,98.10521697998047
2015-03-17,173.68099975585938,98.91798400878906
2015-03-18,175.7689208984375,100.82738494873047
2015-03-19,174.96717834472656,100.3135986328125
2015-03-20,176.51158142089844,100.84272003173828
2015-03-23,176.16761779785156,100.72002410888672
2015-03-24,175.17770385742188,101.69386291503906
2015-03-25,172.6107177734375,100.83501434326172
2015-03-26,172.19969177246094,99.2630615234375
2015-03-27,172.59396362304688,100.49756622314453
2015-03-30,174.69960021972656,99.99916076660156
2015-03-31,173.17279052734375,100.21391296386719
2015-04-01,172.5603485107422,101.53021240234375
2015-04-02,173.18116760253906,100.45447540283203
2015-04-06,174.34722900390625,99.89347839355469
2015-04-07,173.8858184814453,100.7310791015625
2015-04-08,174.4729766845703,100.7618179321289
2015-04-09,175.2448272705078,99.45547485351562
2015-04-10,176.20115661621094,99.60149383544922
2015-04-13,175.4042205810547,99.73983764648438
2015-04-14,175.7398223876953,100.44676208496094
2015-04-15,176.5283660888672,100.36224365234375
2015-04-16,176.4779815673828,99.86273956298828
2015-04-17,174.44786071777344,101.00768280029297
2015-04-20,176.04177856445312,100.1163101196289
2015-04-21,175.8320770263672,99.66297912597656
2015-04-22,176.69615173339844,98.1415023803711
2015-04-23,177.14068603515625,98.56414031982422
2015-04-24,177.55177307128906,99.17887878417969
2015-04-27,176.8135986328125,99.17887878417969
2015-04-28,177.37562561035156,97.81111907958984
2015-04-29,176.64578247070312,96.61241912841797
2015-04-30,174.87571716308594,96.78142547607422
2015-05-01,176.77162170410156,95.47859954833984
2015-05-04,177.27496337890625,94.57774353027344
2015-05-05,175.2448272705078,94.44685363769531
2015-05-06,174.5233917236328,92.82980346679688
2015-05-07,175.2196807861328,94.07717895507812
2015-05-08,177.5266571044922,94.33132934570312
2015-05-11,176.67938232421875,92.0367202758789
2015-05-12,176.15081787109375,92.27542114257812
2015-05-13,176.18441772460938,91.53630065917969
2015-05-14,178.02159118652344,91.78266906738281
2015-05-15,178.21456909179688,93.62291717529297
2015-05-18,178.76817321777344,92.05213165283203
2015-05-19,178.70944213867188,91.23594665527344
2015-05-20,178.58358764648438,91.38993072509766
2015-05-21,179.103759765625,92.66813659667969
2015-05-22,178.6759033203125,92.7066650390625
2015-05-26,176.7548370361328,94.29283142089844
2015-05-27,178.43260192871094,94.50837707519531
2015-05-28,178.23123168945312,94.2774429321289
2015-05-29,177.1239776611328,94.48529052734375
2015-06-01,177.48464965820312,93.46983337402344
2015-06-02,177.3085174560547,92.1657485961914
2015-06-03,177.7782745361328,90.68417358398438
2015-06-04,176.2766571044922,91.86477661132812
2015-06-05,175.9746551513672,90.74592590332031
2015-06-08,174.89248657226562,90.64559936523438
2015-06-09,174.8673858642578,89.927978515625
2015-06-10,176.964599609375,89.14088439941406
2015-06-11,177.53500366210938,91.0159683227539
2015-06-12,176.17604064941406,91.0159683227539
2015-06-15,175.42095947265625,91.16259765625
2015-06-16,176.3773651123047,91.8802261352539
2015-06-17,176.66258239746094,91.17030334472656
2015-06-18,178.49978637695312,90.72277069091797
2015-06-19,177.7073974609375,91.88795471191406
2015-06-22,178.61776733398438,90.01284790039062
2015-06-23,178.74417114257812,89.47269439697266
2015-06-24,177.4459991455078,90.24434661865234
2015-06-25,176.906494140625,89.927978515625
2015-06-26,176.87281799316406,88.91710662841797
