Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,SPY,TLT,SPY,TLT,SPY,TLT,SPY,TLT,SPY,TLT
Date,,,,,,,,,,
2015-01-02,171.56805419921875,97.24324035644531,172.77905445134888,97.50292530454541,170.52409725332382,96.34963044887338,172.36147167299092,96.45655783129538,121465900,9432000
2015-01-05,168.4695587158203,98.77079010009766,170.68274183915315,99.00755705074158,168.16055160823365,97.73205610091385,170.51571131460935,97.77024112325017,169632600,9789500
2015-01-06,166.88272094726562,100.55035400390625,169.3046949960931,101.19192990462328,166.08095672613908,99.43525590700688,168.778536827741,99.82477455934135,209151400,18331300
2015-01-07,168.96234130859375,100.35177612304688,169.30476224444016,100.79476428174492,167.7680606824761,99.41997545375263,168.21904447475998,99.82477276779903,125346700,9762900
2015-01-08,171.9605712890625,99.02283477783203,172.1777224748954,99.5727504374845,170.36541486979826,98.84717083645235,170.38210900438986,99.56511692845486,147217800,8055300
2015-01-09,170.58253479003906,100.1073989868164,172.39484219835452,100.13794467711907,169.96450779967196,98.55693424352226,172.37813532196276,98.67914031315735,158567300,9398800
2015-01-12,169.2462615966797,100.68021392822266,170.87484430602098,101.05445394399112,168.63659442871202,99.99281361525333,170.71616084255797,100.05391664224243,144396100,6658100
2015-01-13,168.7702178955078,100.68021392822266,171.609775029087,101.28358738164758,167.45900216013055,100.16084402592067,170.4739496269329,100.35178661493258,214553300,8260800
2015-01-14,167.7513427734375,101.4439926147461,167.9517870810594,102.43688483577472,165.8388193863837,101.35233223963,166.7407869116467,102.13138132995233,192991100,12324500
2015-01-15,166.21466064453125,103.04026794433594,168.71179762306699,103.13191666341817,166.09773797072305,101.33705155331452,168.39444336193938,101.46690277762966,176613900,11454200
2015-01-16,168.39437866210938,101.7265853881836,168.55306210351227,102.86459586964888,165.8220680830363,101.60437932243063,166.005805463228,102.59728321180265,211879600,9390500
2015-01-20,168.75355529785156,103.07847595214844,169.3047676399098,103.19303687006921,167.17509285913232,102.39872064598724,169.0375085369911,102.44454501315555,130991100,7758700
2015-01-21,169.60540771484375,101.88700103759766,170.08980522392602,103.55966064201299,167.81815409204347,101.55095173787555,168.2858447232639,103.26179055178939,122942700,9803900
2015-01-22,172.12759399414062,101.5203857421875,172.26121077296136,102.48273249308376,168.9790168687212,101.03157302922544,170.36539449083946,102.34525938047616,174356000,10200000
2015-01-23,171.1838836669922,102.933349609375,172.12762481569922,103.20066228161835,171.05025412063077,102.4598039926307,171.86871279076834,102.57437655577428,117516800,7334600
2015-01-26,171.5847625732422,102.62016296386719,171.6766312950258,103.25409361864703,170.24850531702558,102.38339607017278,170.9667482118025,102.98676939106471,92009700,5966500
2015-01-27,169.3214569091797,102.78055572509766,170.4739766257044,103.97203530654527,168.4862914148447,102.45976200313154,169.5135414046648,103.66652025091271,134044600,8079600
2015-01-28,167.14999389648438,104.46088409423828,170.61592502760882,104.94969669915176,166.95790943275094,102.87987372343596,170.51570926281084,102.9180645754566,168514300,12230300
2015-01-29,168.695068359375,103.7734375,168.95396760149606,104.38445589754829,165.93066010493936,103.46030062300969,167.35045151876065,103.96438002084594,173585400,8881400
2015-01-30,166.57369995117188,105.61418151855469,168.8453503604812,105.78221195724979,166.30645370845835,104.77402932507918,167.50909365969386,105.17883840318116,197729700,14871200
2015-02-02,168.63658142089844,105.21548461914062,168.7284501166795,105.55222502898114,165.24581222979737,104.58793250080177,167.07482633623158,104.61853995725176,163107000,13689900
2015-02-03,171.07530212402344,102.98833465576172,171.08366193513993,103.92200721043598,169.16277868967944,102.83526247777377,169.53860062510086,103.81486369250499,124212900,14008700
2015-02-04,170.423828125,103.16439819335938,171.52625243176206,103.30980981857589,169.96448466384916,101.8786637452417,170.30690549339897,102.16183805457953,134306700,11360400
2015-02-05,172.14427185058594,102.03177642822266,172.29460823501248,102.7282040326261,171.01680631363845,101.87105517934353,171.091968134046,102.55218489549355,97953200,8334600
2015-02-06,171.66827392578125,100.22561645507812,173.07970568320872,101.28940340191359,171.14211557408322,99.94244208026267,172.51178650709406,101.05980666047078,125672000,13685600
